Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Pete Kozma","3 Tms",82,0.036585365,0.329268292,0.111111111,0.175675675,0.225,0.27027027,0.49527027,0.094594595,0.255319148,3.0026996566045456,-6.723100172163232,0.21917285844683648,28.72655450928795,2539
"Total","Peter Bourjos","3 Tms",135,0.051851851,0.288888888,0.179487179,0.177419354,0.225563909,0.29032258,0.515886489,0.112903226,0.238095238,5.5979725170427415,-10.81352738556327,0.22467506290378428,36.35750450158048,2578
"Total","Carlos Ruiz","SEA",108,0.074074074,0.277777777,0.266666666,0.229166666,0.29906542,0.354166666,0.653232086,0.125,0.307692307,9.995795336185855,-3.169404629052716,0.28612462493860835,78.84740758441878,2579
"Total","Jhoulys Chacin","2 Tms",110,0.027272727,0.218181818,0.125,0.173469387,0.198019801,0.214285714,0.412305515,0.040816327,0.219178082,0.7943574085763181,-12.443642432994535,0.1821202547243326,5.466239536021038,2608
"Total","Zack Cozart","2 Tms",641,0.098283931,0.166926677,0.588785046,0.253968253,0.335413416,0.444444444,0.77985786,0.190476191,0.27664399,86.09486680813941,8.688967492066958,0.3352967322151672,105.94609626460228,2616
"Total","Brandon Guyer","CLE",162,0.049382716,0.253086419,0.195121951,0.186206896,0.2625,0.275862068,0.538362068,0.089655172,0.245098039,9.59113392153471,-9.666665763466666,0.24462799355387688,44.583431383819295,2636
"Total","Brett Cecil","STL",1,0,0,0,0,0,0,0,0,0,-0.14890202231515154,-0.27080202199328646,0,-100,2660
"Total","Rick Porcello","BOS",14,0,0.5,0,0.142857142,0.142857142,0.285714285,0.428571427,0.142857143,0.285714285,-0.012862556460582875,-1.7144625418216817,0.17818212509155273,13.906514529069407,2717
"Total","Tony Cruz","CIN",12,0,0.583333333,0,0.083333333,0.083333333,0.166666666,0.249999999,0.083333333,0.2,-0.6604214846112603,-2.063221448562371,0.10393957297007243,-47.264229855095124,2802
"Total","Manny Pina","MIL",614,0.065146579,0.20684039,0.314960629,0.250447227,0.308319738,0.409660107,0.717979845,0.15921288,0.287769784,68.33403466400215,-5.609564507934364,0.30757111740894005,87.50908626714792,2829
"Total","Chris Marrero","SFG",21,0.047619047,0.142857142,0.333333333,0.1,0.142857142,0.1,0.242857142,0,0.117647058,-1.0625249571237765,-3.6224249503646098,0.11649198475338164,-35.210750322494,2852
"Total","Ross Detwiler","CHW",2,0,0.5,0,0,0,0,0,0,0,-0.3012530568724847,-0.5530530575400567,0,-100,2859
"Total","Roberto Perez","CLE",633,0.088467614,0.298578199,0.296296296,0.198555956,0.275806451,0.353790613,0.629597064,0.155234657,0.257142857,53.28856549341036,-24.20313403826403,0.27305818430839046,62.83427587226239,2900
"Total","Josh Ravin","LAD",2,0,0,0,0,0,0,0,0,0,-0.2978040446303031,-0.5416040439865729,0,-100,2951
