Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
Total,Corey Seager,LAD,415,0.074698795,0.226506024,0.329787234,0.277333333,0.339759036,0.456,0.795759036,0.178666667,0.330855018,57.93872166,6.810221781,0.339388681,112.2157199,13624
Total,Joe Panik,2 Tms,410,0.07804878,0.087804878,0.888888888,0.259668508,0.324257425,0.32596685,0.650224275,0.066298342,0.275229357,39.60145164,-10.23754798,0.287819917,79.09666574,11936
Total,Didi Gregorius,NYY,409,0.053789731,0.134474327,0.4,0.257978723,0.304668304,0.409574468,0.714242772,0.151595745,0.266881028,45.16719962,-4.265899878,0.306179247,90.34581772,6012
Total,Rafael Devers,BOS,401,0.049875311,0.224438902,0.222222222,0.27393617,0.316708229,0.433510638,0.750218867,0.159574468,0.33090909,49.7630723,0.630172623,0.319929037,94.88104946,17350
Total,Ender Inciarte,ATL,394,0.081218274,0.139593908,0.581818181,0.27840909,0.340153452,0.349431818,0.68958527,0.071022728,0.318791946,43.11820542,-4.230394011,0.305047695,85.67621537,4922
Total,Kevin Kiermaier,TBR,392,0.051020408,0.25510204,0.2,0.254189944,0.30670103,0.374301675,0.681002705,0.120111731,0.329365079,40.2522099,-7.532589775,0.295424632,85.78929606,11038
Total,Joey Gallo,TEX,390,0.105128205,0.394871794,0.266233766,0.24260355,0.339331619,0.568047337,0.907378956,0.325443787,0.33548387,67.22457761,20.18357814,0.37862714,130.6058594,14128
Total,Chris Davis,BAL,379,0.089709762,0.393139841,0.228187919,0.169139465,0.25065963,0.290801186,0.541460816,0.121661721,0.254143646,21.40243697,-24.34366256,0.241456101,44.22754085,9272
Total,Jay Bruce,4 Tms,372,0.077956989,0.244623655,0.318681318,0.222222222,0.284946236,0.432748538,0.717694774,0.210526316,0.248927038,40.95799115,-4.1698085,0.305307431,90.28165889,9892
Total,Josh Reddick,HOU,363,0.066115702,0.165289256,0.4,0.294642857,0.340720221,0.473214285,0.813934506,0.178571428,0.325757575,52.71579426,8.714094688,0.346793259,121.0326335,3892
Total,Daniel Murphy,3 Tms,359,0.066852367,0.194986072,0.342857142,0.288753799,0.340782122,0.440729483,0.781511605,0.151975684,0.343873517,48.55794366,4.690843917,0.33334357,98.19421251,4316
Total,Corey Dickerson,3 Tms,357,0.036414565,0.232492997,0.156626506,0.296735905,0.327731092,0.456973293,0.784704385,0.160237388,0.372,47.42993405,4.322634475,0.332814877,109.1771345,10762
Total,Scooter Gennett,2 Tms,347,0.048991354,0.244956772,0.2,0.267692307,0.304347826,0.412307692,0.716655518,0.144615385,0.331896551,38.55210505,-2.857194314,0.307962827,87.67106429,10339
Total,Juan Soto,WSN,346,0.121387283,0.202312138,0.6,0.282828282,0.367052023,0.481481481,0.848533504,0.198653199,0.322727272,54.26415219,11.82775249,0.358615843,120.2730271,20123
